hen-bu-man-yi , 陈景润“1+2”证明论文简化版原文
xian-shi-wu-huan , 网络暴力很可怕，不乏冷嘲热讽的键盘侠，题主的初衷可能只是为单纯为了得知这个问题的答案，但是太容易引起网友的误解。不管怎么样，希望题主能够保持对数学的热爱并不断追寻真理，其余的事不多评论了。
 , 十七岁谁还不是觉得自己很牛逼啊，射了还能硬的年纪，真好。看天底下谁都不服，老子天下第一
wang-shi-bu-yao-zai-ti-25-17 , 真的证明哥巴猜想的人，不会问这种问题的，更不会关心去哪个学校，因为你想去的那些大学数学大教授们这方面水平都不如你。
 , 孩子，刚学会走路甚至还不稳的时候不要想着能飞到外太空了吧。或许你真的对数学有那么一丢丢丢丢的“天分”，但是这点天分完全不足以让你去将哥猜证明出来。只希望，你既然能这么心高气傲地有勇气肯定自己的证明，那么在1月1号你的论文发出来被各大神甚至只是普通研究数学的人指出错误的时候，你能有接受网络上所有对你的嘲笑和批判的勇气。最后作为一个也学数学的普通人，我给你的建议是，先脚踏实地好好准备高考。
zhang-xiao-dan-93-65 , 以前遇到位老哥，江苏数学高考只扣了4分，然后在工地上，因为他英语只考了十八
zheng-le-86-98 , 第一，你的表述都有问题，应该是会被保送清华北大数学系吗？第二，你没见识，比清华北大数学系牛逼的多了去了。第三，我敢断定你连看懂哥德巴赫猜想都成问题，更别说证明了。
ping-fan-de-ren-88-53 , 我怎么感觉题主智商有问题呢？这种睿智问题都能置顶？ 还是故意搏热度的？ 稍微懂点常识的人都知道，但凡能够证明出猜想的人都是这个领域的最顶尖精英！那么转换简说，提问也就是数学大拿会不会被清华北大录取？你他妈连最基本的转换思维都没有，你告诉我你凭什么能够证明？ 我这个连高中没毕业的人都看不下去了！太侮辱科学这两个字了！！！
fu-jun-jiang-jun-zhong-hu , 建议题主开个公众号引流，然后在十二月三十一号接一个土蜂蜜广告，把证明过程一月一号发到公众号上。
benedictus-98 , 不知道大家有没有看过极限空间?提问者会不会一月一日说自己的电脑坏了，然后需要更多时间吧。。。。。。。。
qi-heng-zhi-fu-35 , 希望题主成功之后不要忘记评论中对你表达善意的人，好好加油吧。
 , 感觉这个问题会有这么多的关注才是真正有意思的事还是因为很多人对于数学有误解吧，而了解数学的人不想让大家对数学有误解，才站出来说不可能。其实也是对科学的误解，科学不是投机取巧灵光一闪，确实有天才的存在，但天才也不是突然灵光一闪就有成果了，何况普通人。在座的各位中支持题主的可能都多少对科学有些误解吧。
chen-shuo-32-60 , 不是不能，是不敢，你可能被破格请来当教授。
 , 今天上高代课的时候，高代老师讲的一个事例可以送给提问者大概在零几年的时候，有一个学长一入学就表示出了对此类问题的极高兴趣，然后就整天只研究数论方面的的问题。而且还说他证出来了让老师看是否正确，但老师说那只有一页纸的证明，他是看都不会看的，如果这么简单的话，那前面那么多大数学家是傻子吗？最后好像那位学长挂了许多专业课，并没有毕业。每年都有许多人声称自己证出了哥德巴赫猜想这类的，但是都是沉浸在自己的世界中不可自拔。如果你还是个高中生，那我想说你的路还长，如果你真心喜爱数学，欢迎你报考数学专业，从最基础的数分高代学起，那你会了解到原来高中的数学知识不值一提。只有你不断向上攀登，你才能看到更加广阔的世界，而并不是现在山下看着山峰说：“这不是触手可及吗？”还有清华北大到底对你意味着什么，是旁人提起的无限荣耀还是虚荣或者自身能力的肯定，那样的你并不适合专心于数学研究。清华北大只能意味着你有更好的教育平台，但是你的成就也只能由你来一步一步的完成，如果你真的喜爱数学，我相信就算是一个二本的大学也并不会阻止你进步的脚步。不要过分在意别人的冷嘲热讽，人不轻狂枉少年，但是当下的你就是属于忍受不了正派的扎马步打基本功然后选择了走火入魔的一派人。你更应该做到的是提升自己的眼界和能力，17岁的你做不到，也许70岁的你就能做到呢？
zhang-bai-nian-64 , 能证明哥猜，你直接就是21世纪最伟大的数学家之一了，保送……当普灵斯顿的数学教授都可以话说回来，皇帝也用金锄头种地的么？
 , 当然。前提是你能真的证明出来。其实，平时没事时证明玩玩也没什么，不要担心被人说“民科”。在试图证明的过程里，你可以学到很多东西。肯定也会多方查阅这方面的资料，学到很多知识。为了了解那些知识和证明途径，你会主动去学些东西，认识到不足，也许最后你知难而退，但是你会因此学到很多东西。民科的讨厌其实不在于其业余研究本身，而是因为其中的很多人妄自尊大，对于知识过于傲慢，思维能力不足又不愿意承认，不去努力改善，对待知识不够谦逊，甚至有时明知道自己错了还要硬凹，把面子摆在知识的前面，等等。很多人并非真正讨厌民科，只是讨厌那种非理性的精神偏执，讨厌的是以天才自居而又拿不出真本事。否则的话，人人都有研究科学及数学的自由，不管你处于科学共同体的官方机构，还是业余爱好者。而旁观者，也最好不要动辄用“民科”这种贴标签、扣帽子的行为，一上来就对人做定性的否定，就好像知乎有些真正的科学回答，反被某些人一上来就骂“民科”，结果最后自己被打脸了。如果对方错了，可以实事求是指出错在哪里，就事论事，而不要一上来就扣民科的帽子，这行为很不好，并非真正的科学态度。总之，你要有兴趣证明，可以玩玩去，利用这个学点东西也是很好的。有些东西你要真的实践了，才知道真正问题所在。但一定要保持对知识的谦逊、开放态度，热衷于学习相关知识，准备工作要做好，多看点相关资料，不要急于图成。也许你原本要证明哥德巴赫猜想，结果在这过程里找到另外的更值得奋斗、也更为“现实”的目标及相关发现，也未可知。很多东西的发现是要由兴趣来驱动，不管你最初的兴趣是什么，至少要有一个兴趣，兴趣是一个切入点和引导，把你引向某个领域及相关联领域，使你真正沉浸进入。就好比我从小对女性身体感兴趣，现在我成了一个兽医（咳咳）。。。是怎么七转八转最终进入这领域的，一言难尽。但绝对是最初那一神秘的、看似不相关的兴趣作为最初驱动。。
jiang-long-wang , “大师，什么是快乐的秘诀？”“不要和愚者争论”“我完全不认为这能使人快乐”“是的，你说得对！”
dgk-81 , 如果题主真的这么年轻就做到了，那么题主应该考虑的问题是“我能否被称作人类自文明建设以来最了不起的数学天才？在我的余生（18岁左右的余生有点长讲道理…）我能为数学界带来多大的革新？”
xia-bing-yi-33 , 这不是一个数学问题，这是一个社会学问题。
tao-lei-yi , 如果题主真能证明得出，我就在本回答的评论中随机抽中一位关注我的知友，赠送iPhonexs一台，绝不食言。
wang-tian-le-84-8 , 不是很理解你们为什么要抨击他？无论结果如何，作为一个高中生有这样的求知欲和行动力难道不足以得到人们的鼓励和夸奖吗？看到之前有个答案说证不好会被记黑名单我也不知道怎么想的。我们应该鼓励年轻人不怕犯错去勇敢尝试。大家怎么反倒变的这么刻薄。答主不管你正确与否（当然我也觉得正确的概率不大）希望你能坚持自我，保持求知欲和亢奋的头脑。
lie-huo-hu-yi-san , 孩子加油吧。评论有很多冷嘲热讽，但你要知道，优美是一种和谐，而伟大本身就是一种不和谐。不管成功与否，这个过程现在也已经成为了自己人生中的一次高潮。年轻么，有的是时间，最不应该害怕的就是失败。如果失败，那就重头再来。你才高中，还有本科、硕士、博士等等十年左右的时间来充分充实自己，以你的天份，加上名师的辅导，以及和你一样爱好同学的支持帮助，想想十年后的自己会有多恐怖。加油。
gen-wo-hui-jiang-nan-ba-33 , 我真的觉得这位同学的这句话有点看不起三百年来全世界数学家的智商
xie-qi-87-6 , 惊闻 @证明已经证明了哥德巴赫猜想，倍感欣慰。虽然我不懂数学，但这种锲而不舍的求真精神与唐僧师徒的取经精神是一样的。明年年初…正式开机…弘扬数学文化…文理两开花……多多关注。
jing-hui-70-64 , 评论一下，我当初也做过这个梦当然期待你是真的成功不过失败了也希望不要有太大的打击还有你现在赌气年轻人平和一些别那么着急，慢慢来即使你通过验证哥德巴赫猜想上了清北你，其他科也是要学的这可能是一个捷径但是世上没那么简单又轻松的捷径难说后面有更大的打击做研究就要保持平和心
dekingpro , 你要能证明出来，真的听哥的，清华配不上你。
li-xin-ju-30 , 几个农妇在聊天，幻想皇帝的生活。一个农妇说，皇帝老儿耕地一定都是用的金锄头。另一个农妇说，皇后娘娘在床边放两个糖罐，一个装红糖，一个装白糖，夜里醒来，想吃红糖吃红糖，想吃白糖吃白糖。
ke-ke-ke-ke-67-1 , 也许这个学弟以后不会成为一个数学家，但我觉得他会成为一个成功的商人，或者在其他方面有所建树
 , 会被特聘进MIT当senior professor
ren-hang-90-35 , 数学可没有什么厚积薄发，只有循序渐进。数学本身就是循序渐进的学科。数学对智力有着超高的限制标准。没有系统学过相关数学领域全套的基础知识，是不可能证明相关领域的高一级的知识的。“连基本数论和低阶数学题都得上网查的高中生能证明哥德巴赫猜想”本身就严重反逻辑了。别说证明了，连想象对应的证明式都想象不出来，甚至做梦都梦不出来。为什么呢？因为缺了那全套对应领域的基础知识，你对这个领域高一阶的知识的认识就会有严重残缺只能形成错误认知，甚至完全无法形成认知。人类是想象不出来“自己完全没见过的，没有对应认知概念的东西”的。证明哥德巴赫猜想的难度，和保送清华北大的难度，二者完全不是一个层面的难度。这么多年，七十亿人里的那么多数学家都没有证明哥德巴赫猜想，更别说什么高中生去证明了。而保送清华北大的高中生年年常见。如果真有能证明哥德巴赫猜想的数学水平，那么这个高中生早在初中甚至小学就全国乃至世界出名了。因为想要高中时期就拥有证明哥德巴赫猜想的水平，那么这个高中生初中时期就得有数学家级别的知识。而且这个高中生小学时期就得有数学专业教授级别的水准。这样的天生数学奇才，一有名气就会被保护起来吧，算是真正的未来的数学巨人。。。怎么还会跑到知乎上发什么公告？还到处问低阶数学知识？这不是反逻辑了么？一个小学都有数学教授水平的人，居然还能默默无闻这么多年？所以从常理和逻辑上讲，这次高中生声称自己能“证明哥德巴赫猜想”的事件是反逻辑的，甚至违背了事物本身的发展规律。数学上不懂就是不懂，数学低阶知识学的再多，没达到能看懂更高级的对应数学领域知识的标准，照样和看天书一样。大家还记得憨豆先生第一季第一集么？就是憨豆先生考试那一集。憨豆先生准备考的是三角学，而他的邻桌准备考的是微积分。憨豆看不懂微积分的考卷，最后抄不到邻桌的，只能趴在桌上睡觉。考试濒临结束时，大家最后看到考卷有绿色白色两种的时候，肯定都笑了。但是大家没有从这个视频里学到东西。憨豆先生为什么看不懂微积分的考卷？因为他没有学习微积分对应领域的数学低阶知识，对微积分领域的题型完全陌生，看微积分领域的考卷宛如看天书。一个数学领域的两个高阶分支知识的从事者，互相看对方的研究都和看天书一样。而数学家则是掌握了好几种甚至更多的高阶分支知识。但是即便是数学家，看到自己不擅长的领域依然和看天书一样。一个高中生连基础知识中的一门都没把握，反而自称证明了一片数学家都证不出来的猜想。。。。。他这是认为他自己的智力和能力比全人类都高么？。。。。“无名高中生一天突发奇想就证明了哥德巴赫猜想”是完全反逻辑甚至反人类的。因为稍微对数学了解一下，就知道哥德巴赫猜想对应的数论基础知识摞起来能填满一个微型图书馆。每一个低一阶的数学知识都有对应的更低阶更基础的大量知识。这么多书，一般智力和感知的人，这辈子的寿命摞起来都不够看完的。。。。。看完都做不到，别提看懂并且融会贯通了。。。。这高中生，现在考虑的不该是什么数学，而是想想现在闹大了自己的未来会怎么样。网络没有秘密，删号怕是都跑不了他。在学术圈臭了大名声，恐怕有点知识考上本科，都没法毕业。更别提找工作了。
yin-mei-37 , 单纯用初等数论解决哥德巴赫猜想，你前面的人已经做过了，估计还不少。
baggio18 , 能证明的话，你可以见任何一个国家元首，甚至可以让教皇亲自隆重地接见你，何必去清华北大呢
 , 其实，这一开始就是一场骗局 ，一种营销手段和社会实验。
li-dai-lin-28 , 加油啊，能证出来最好，证不出来，也不要放弃对数学的热情，别偏科啊，有这智商，会有清北的
chen-zhi-shu-9 , 我发现评论大部分在嘲讽虽然我也觉得高中生解不出来但答主既没有老三老四，也没有张扬吹捧自己的意思，可能只是高中生看不出自己的解答有什么问题，这不是很正常嘛？所以大家别给他太多压力好吗
xcgdgp , 我觉得能证明这个命题的人，应该已经没有必要到清华北大上学了
xing-yong-wei , 唉，他开心就好了，反正也不危害他人。你们讲这么多， 他一句都听不进去的。
miao-miao-79-98-29 , 我觉得可能是你老师作业布置的太少了，考试不够多所以让你产生了这样的想法……
guo-xiao-dong-83-62 , 我拼尽全力做了两个月公众号才达到5000个粉丝，结果他的几句话就在几天之内吸引了十多K关注。被秒杀的渣渣都不剩！不禁思考到底是该讽刺自己太笨还是该称赞他真是个营销天才。原来这世上真有不靠努力就可以实现所谓的成功！辛苦近两月的成果，和他相比，简直讽刺
zhang-ke-xin-9-76 , 
kong-chi-59-85 , 大家好，我在一次热身充分且助跑足够的情况下完成了三分线起跳扣篮，请问我能进CBA吗？1月1日知乎公开扣篮视频，欢迎观看。
kong-diao-xia-de-shi-guang , 厉害作为一个平凡的高中生，我被震撼到了。哇，歌德巴赫猜想；哇，同龄人，太屌了。刷了刷高赞回答，我靠，居然有大牛回复了。这么多回答，冷嘲热讽我整个高中也做不出来的事情。我目前的高中生涯就干过偷窥女厕，还什么都没看到。竞赛？得奖？保送？我做白日梦呢。不，我连梦都做不出来。我之所以选文科，是因为我不想写那么多作业。而此时，我的同龄人在试图证明哥德巴赫猜想。没做出来，那又怎么样？比我这种混日子的高了不知道多少倍。君不见高堂明镜悲白发，朝如青丝暮成雪。李白的将进酒让我佩服的五体投地。靠，我十几年简直就是白活了。是我太low了嘛，我的同龄人怎么这么牛逼。好厉害，真的好厉害。天分高的人多得是，努力的人少之又少。题主，你要暂时当一下我的榜样了。
ke-ke-ke-ke-67-1 , 也许这个学弟以后不会成为一个数学家，但我觉得他会成为一个成功的商人，或者在其他方面有所建树
